Epoch,train_Loss,train_psnr,test_Loss,test_psnr,lr
1,0.003845827095210552,24.289909449964075,0.004015798761328269,25.053567513519493,0.0001
2,0.0035549930203706026,24.646037413421187,0.003985184978874814,25.109282255521236,0.0001
3,0.0036618328467011452,24.48301521097533,0.003983049595262855,25.112901605321944,0.0001
4,0.0033171986043453216,24.915494761881302,0.003981285718812917,25.115599257137163,0.0001
5,0.003745712349191308,24.32534075129346,0.0039772982224045945,25.120723634919077,0.0001
6,0.0033867966011166574,24.869052107213914,0.00395839578898934,25.142949636281497,0.0001
7,0.0036961019365116953,24.501163223871558,0.0038932686956185433,25.219893334912317,0.0001
8,0.0033598932065069674,24.84676222245501,0.0038296223598687598,25.298199183241078,0.0001
9,0.00332285572309047,24.931486409720204,0.003783474453181649,25.35862657373684,0.0001
10,0.0031989434827119113,25.085522032833595,0.003742415716664659,25.413085069147442,0.0001
11,0.003268453637138009,25.00620517466585,0.003709802009527468,25.458437966391568,0.0001
12,0.00332969912327826,24.85538417652442,0.003682331612152565,25.494313999821724,0.0001
13,0.003271818421781063,24.93910051243714,0.0036613030469096783,25.522266811421648,0.0001
14,0.0032847055327147245,24.95248378157032,0.003644019142181302,25.546113593054525,0.0001
15,0.003238473855890334,25.010455462024535,0.003635227191908699,25.558253281869877,0.0001
16,0.0031927020009607076,25.083854462257985,0.0036268848764140988,25.56853773611566,0.0001
17,0.003245475785806775,25.10450465132575,0.003622970899515268,25.572867390497915,0.0001
18,0.0032418317440897227,25.02877265331772,0.0036184418875361895,25.579329288165233,0.0001
19,0.003232490923255682,25.015133195048826,0.003612016822444275,25.58803087541144,0.0001
20,0.0031590808276087045,25.12562998703423,0.0036066589463088247,25.593905615754792,0.0001
21,0.003205015594139695,25.013638204398138,0.0035997492021932784,25.60160304797583,0.0001
22,0.0031882795272395016,25.131487274882705,0.0035926322226360855,25.608213628028707,0.0001
23,0.003333571245893836,24.862312960229637,0.0035824377911113617,25.620247941298956,0.0001
24,0.003488155482336879,24.666962890152007,0.003571811575157982,25.629692140366288,0.0001
25,0.0034152548806741833,24.84786365603622,0.0035623343978335876,25.638862870493988,0.0001
26,0.0032613294059410693,24.96790772053921,0.0035450829244736168,25.659636499594445,0.0001
27,0.0031783274933695795,25.08243836951038,0.0035339264820019403,25.673620036428517,0.0001
28,0.003111624028533697,25.158477756184922,0.003521608864603978,25.687239795694822,0.0001
29,0.0029843676229938864,25.34592695106226,0.003513071802444756,25.698476471853496,0.0001
30,0.0032013780064880848,25.083420443926553,0.003507582396398195,25.706234519767023,0.0001
31,0.00334548975341022,24.83122038813389,0.0034927502921265033,25.72446267778257,0.0001
32,0.003177693015895784,25.09389285735449,0.0034803116804040554,25.738749085645086,0.0001
33,0.0032013982348144056,25.045551114739915,0.003469852552775087,25.750486825441,0.0001
34,0.003065396547317505,25.22190298557851,0.003460524315919934,25.761751871664856,0.0001
35,0.003202153602614999,25.052839921912213,0.003454227634291682,25.772896135928168,0.0001
36,0.003152233939617872,25.132006732852552,0.0034435405266574686,25.7854451364512,0.0001
37,0.0031290663685649635,25.108441714837596,0.0034357046178128156,25.79537093366678,0.0001
38,0.0031561283487826584,25.097221672866844,0.0034252969425223353,25.81199040469002,0.0001
39,0.0030610350100323557,25.25543402780825,0.0034150689833849254,25.821923609406426,0.0001
40,0.003016251986846328,25.330725448102136,0.0034125578951918418,25.82662826146716,0.0001
41,0.0031050584092736245,25.16023265574363,0.0033977412062490154,25.849531440881453,0.0001
42,0.0029851561319082977,25.396984427137568,0.0033897570909983995,25.862052819498466,0.0001
43,0.003012547711841762,25.341526993135695,0.0033756239507864746,25.87514939037865,0.0001
44,0.0030156216118484734,25.36449086272662,0.003365219603033943,25.893438602123883,0.0001
45,0.0029171301610767843,25.53952658642072,0.0033542214239585316,25.90736418130919,0.0001
46,0.002931616404093802,25.473749890322175,0.003339859741067307,25.92898313339844,0.0001
47,0.0030596153065562248,25.263871871791917,0.003344056975846696,25.92895682784705,0.0001
48,0.003084965874440968,25.203416014615158,0.0033313304528645757,25.942565590855608,0.0001
49,0.0029961824882775547,25.304745339369056,0.003316502620388443,25.957834228097745,0.0001
50,0.0030578654864802956,25.295480359798304,0.003306106311760636,25.976852929721037,0.0001
51,0.002937865098938346,25.43122186104566,0.0033013812272757706,25.98772284375481,0.0001
52,0.0030420992244035005,25.322224319693383,0.0032849350213331897,26.00273908619815,0.0001
53,0.0030743680335581303,25.222434465386506,0.0032846985106718624,26.010112073532248,0.0001
54,0.0031679328205063938,25.149463999246596,0.0032733218168788073,26.021553123005503,0.0001
55,0.0031728848814964296,25.21444765253604,0.0032825094984016484,26.018130469055187,0.0001
56,0.0028340111300349234,25.578642972477372,0.0032647663934363257,26.035682596413547,0.0001
57,0.003171095196157694,25.119315722783057,0.0032528094630429726,26.047006706728254,0.0001
58,0.0029853967484086753,25.429562267983293,0.0032502987629009616,26.053005974563874,0.0001
59,0.002894641631282866,25.512552953758846,0.0032439837361582452,26.065490426260723,0.0001
60,0.0028377469442784787,25.57993445952055,0.0032389497597857067,26.074244893398454,0.0001
